the_date,segment_name,score,solunar_overlap,notes_json,breakdown_json,frozen_at
2026-09-25,Dawn,4.4,minor,"[""Moon was ~97% illuminated last night - dawn/morning activity has tracked better on darker nights this season."", ""Overlaps a solunar minor period."", ""Clear/bright ('bluebird') skies - classic tough-bite pattern, especially midday."", ""Light-moderate wind/chop - good for reaction baits and windblown banks.""]","[[""Base"", 5.0, ""Starting point before any factors below.""], [""Moon phase"", -0.456, ""Moon was ~97% illuminated last night - dawn/morning activity has tracked better on darker nights this season.""], [""Solunar"", 0.3, ""Overlaps a solunar minor period.""], [""Cloud cover"", -0.8, ""Clear/bright ('bluebird') skies - classic tough-bite pattern, especially midday.""], [""Wind"", 0.325, ""Light-moderate wind/chop - good for reaction baits and windblown banks.""]]",2026-09-25T16:21:35.329107
2026-09-25,Morning,4.7,major,"[""Moon was ~97% illuminated last night - dawn/morning activity has tracked better on darker nights this season."", ""Overlaps a solunar major period."", ""Clear/bright ('bluebird') skies - classic tough-bite pattern, especially midday."", ""Light-moderate wind/chop - good for reaction baits and windblown banks.""]","[[""Base"", 5.0, ""Starting point before any factors below.""], [""Moon phase"", -0.456, ""Moon was ~97% illuminated last night - dawn/morning activity has tracked better on darker nights this season.""], [""Solunar"", 0.6, ""Overlaps a solunar major period.""], [""Cloud cover"", -0.8, ""Clear/bright ('bluebird') skies - classic tough-bite pattern, especially midday.""], [""Wind"", 0.325, ""Light-moderate wind/chop - good for reaction baits and windblown banks.""]]",2026-09-25T16:21:35.329107
2026-09-25,Midday,5.5,major,"[""Full Moon - near new/full moon, per solunar lore (mixed real-world evidence)."", ""Overlaps a solunar major period."", ""Clear/bright ('bluebird') skies - classic tough-bite pattern, especially midday."", ""Light-moderate wind/chop - good for reaction baits and windblown banks.""]","[[""Base"", 5.0, ""Starting point before any factors below.""], [""Moon phase"", 0.39, ""Full Moon - near new/full moon, per solunar lore (mixed real-world evidence).""], [""Solunar"", 0.6, ""Overlaps a solunar major period.""], [""Cloud cover"", -0.8, ""Clear/bright ('bluebird') skies - classic tough-bite pattern, especially midday.""], [""Wind"", 0.325, ""Light-moderate wind/chop - good for reaction baits and windblown banks.""]]",2026-09-25T16:21:35.329107
