lat,lon,depth_ft
37.313902,-86.251974,0
37.313902,-86.251951,0
37.313902,-86.251928,0
37.322737,-86.251257,0
37.322352,-86.250684,0
37.322206,-86.250662,0
37.322023,-86.250112,0
37.321602,-86.250204,0
37.314834,-86.250461,0
37.313956,-86.2506,0
37.313555,-86.252707,0
37.313244,-86.253188,0
37.307078,-86.249208,0
37.313846,-86.250073,0
37.313042,-86.250715,0
37.312404,-86.25525,0
37.31052,-86.25603,0
37.309314,-86.256924,0
37.313738,-86.252936,0
37.313701,-86.252638,0
37.313665,-86.25305,0
37.313647,-86.252798,0
37.313555,-86.253073,0
37.31372,-86.253004,0
37.313628,-86.252615,20
37.313628,-86.252569,20
37.313628,-86.252249,0
