ident,lat,lon,structure_type
NRL141,37.34084319,-86.19277923,Christmas Trees
NRL142,37.32527381,-86.21275892,Christmas Trees
NRL143,37.30976293,-86.23235087,Brush
NRL144,37.30198653,-86.21614295,Brush
NRL145,37.29995711,-86.21679288,Brush
NRL146,37.29828911,-86.21474158,Brush
NRL147,37.297853,-86.21521818,Brush
NRL148,37.29736056,-86.21566032,Brush
NRL149,37.33206918,-86.16835906,Christmas Trees
NRL150,37.33155445,-86.16435335,Brush
NRL151,37.33266011,-86.16343671,Christmas Trees
NRL152,37.3328979,-86.16312523,Christmas Trees
NRL153,37.33306982,-86.1630886,Brush
NRL154,37.31958082,-86.13395051,Pallet Stack
NRL155,37.31958719,-86.13383635,Pallet Stack
NRL156,37.3196172,-86.1338221,Pallet Stack
NRL157,37.31962927,-86.13382428,Pallet Stack
NRL158,37.31964394,-86.13381816,Pallet Stack
NRL159,37.31967771,-86.13385965,Pallet Stack
NRL160,37.31971309,-86.13380307,Pallet Stack
NRL161,37.32016873,-86.13343259,Pallet Stack
NRL162,37.32018197,-86.13343611,Pallet Stack
NRL163,37.32018784,-86.13342547,Pallet Stack
NRL164,37.32022136,-86.13340728,Pallet Stack
NRL165,37.32024014,-86.13344282,Brush
NRL166,37.3202761,-86.13343217,Brush
NRL167,37.32027384,-86.1333989,Pallet Stack
NRL168,37.32030158,-86.13342782,Brush
NRL169,37.32032999,-86.13336143,Christmas Trees
NRL170,37.32032849,-86.13333218,Christmas Trees
NRL171,37.32030963,-86.13333168,Christmas Trees
NRL172,37.32030518,-86.13336219,Christmas Trees
NRL173,37.32029429,-86.13334157,Christmas Trees
NRL174,37.32027601,-86.1333253,Christmas Trees
NRL175,37.32026076,-86.13333201,Christmas Trees
NRL176,37.32023989,-86.13333645,Christmas Trees
NRL177,37.32239672,-86.13026122,Pallet Stack
NRL178,37.32236663,-86.13001864,Pallet Stack
NRL179,37.32242949,-86.12989593,Pallet Stack
NRL180,37.32249982,-86.12972486,Pallet Stack
NRL181,37.32241751,-86.12943074,Pallet Stack
NRL182,37.32243109,-86.12925338,Pallet Stack
NRL183,37.32256142,-86.12931624,Pallet Stack
NRL184,37.32263066,-86.12946158,Pallet Stack
NRL185,37.32265086,-86.12967691,Pallet Stack
NRL186,37.32265539,-86.1298267,Pallet Stack
NRL187,37.32262722,-86.12996223,Pallet Stack
NRL188,37.32256243,-86.13015954,Pallet Stack
NRL189,37.3224942,-86.13019709,Brush
NRL190,37.3226413,-86.13010774,Brush
NRL191,37.32270802,-86.13009023,Brush
NRL192,37.32271423,-86.13001814,Brush
NRL193,37.32277323,-86.1300225,Brush
NRL194,37.322876,-86.12995494,Brush
NRL195,37.32283694,-86.13007405,Brush
NRL196,37.36827624,-86.15989493,Pallet Stack
NRL197,37.36829636,-86.15998277,Pallet Stack
NRL198,37.36835553,-86.160108,Pallet Stack
NRL199,37.36840155,-86.16016014,Pallet Stack
NRL200,37.36844413,-86.16027941,Pallet Stack
NRL201,37.36846223,-86.16036004,Pallet Stack
NRL202,37.36849308,-86.16046079,Pallet Stack
NRL203,37.36853851,-86.16053305,Pallet Stack
NRL204,37.36918861,-86.16156905,Pallet Stack
NRL205,37.3691286,-86.16150317,Pallet Stack
NRL206,37.36903355,-86.16145506,Pallet Stack
NRL207,37.36902977,-86.1615491,Pallet Stack
NRL208,37.36906154,-86.16163007,Pallet Stack
NRL209,37.36909205,-86.16170249,Pallet Stack
NRL210,37.36913228,-86.16177038,Pallet Stack
NRL211,37.36915257,-86.16183853,Pallet Stack
NRL212,37.36921091,-86.16182939,Pallet Stack
NRL213,37.36928358,-86.1616377,Pallet Stack
NRL214,37.36936337,-86.16175873,Pallet Stack
NRL215,37.36952364,-86.16177835,Pallet Stack
NRL216,37.36963637,-86.16177843,Pallet Stack
NRL217,37.369788,-86.16176946,Pallet Stack
NRL218,37.369859,-86.16174163,Pallet Stack
NRL219,37.36991884,-86.16170836,Pallet Stack
NRL220,37.36997534,-86.16166251,Pallet Stack
NRL221,37.37003895,-86.16164834,Pallet Stack
NRL222,37.37013769,-86.16161481,Pallet Stack
NRL223,37.34154459,-86.13433449,Christmas Trees
NRL224,37.3413534,-86.13418068,Christmas Trees
NRL225,37.36350149,-86.17157796,Christmas Trees
NRL226,37.33375948,-86.1624546,Brush
NRL227,37.33362126,-86.16283908,Brush
NRL228,37.33352194,-86.16285089,Brush
NRL229,37.34719961,-86.12281281,Brush
NRL230,37.34727941,-86.12285723,Pallet Stack
NRL231,37.34737135,-86.12277878,Pallet Stack
NRL232,37.31323496,-86.23273962,Brush
NRL233,37.30860773,-86.2308873,Brush
NRL234,37.30857748,-86.23079536,Brush
NRL235,37.30860597,-86.23069301,Brush
NRL236,37.3082619,-86.23019563,Brush
NRL237,37.30811731,-86.23017526,Brush
NRL238,37.30807087,-86.22999354,Brush
NRL239,37.30805629,-86.22982079,Brush
NRL240,37.31816084,-86.21608067,Brush
NRL241,37.31788952,-86.2175947,Brush
NRL242,37.31794509,-86.21754818,Brush
NRL243,37.32201006,-86.21601613,Brush
NRL244,37.32205918,-86.21624404,Brush
NRL245,37.32232707,-86.21613189,Brush
NRL246,37.32238934,-86.21610892,Brush
NRL247,37.32242237,-86.21615401,Brush
NRL248,37.32241835,-86.21608336,Brush
NRL249,37.32250334,-86.21605586,Brush
NRL250,37.32234391,-86.2154496,Brush
NRL251,37.32801092,-86.20751244,Brush
NRL252,37.32803757,-86.20746994,Brush
NRL253,37.32503853,-86.21234955,Brush
NRL254,37.31645227,-86.21610842,Brush
NRL255,37.31511427,-86.2147596,Brush
NRL256,37.31298267,-86.22613284,Brush
NRL257,37.3133415,-86.22618464,Brush
NRL258,37.31339581,-86.2264941,Brush
NRL259,37.31340864,-86.22652151,Brush
NRL260,37.31340034,-86.22654447,Brush
NRL261,37.31348416,-86.22656677,Brush
NRL262,37.31347033,-86.22663919,Brush
NRL263,37.31355105,-86.22668495,Brush
NRL264,37.31357678,-86.22671563,Brush
NRL265,37.31347863,-86.22678864,Brush
NRL266,37.31343856,-86.22678051,Brush
NRL267,37.31343336,-86.22679065,Brush
NRL268,37.31341643,-86.22684664,Brush
NRL269,37.31343755,-86.2269194,Brush
NRL270,37.31340336,-86.22697094,Brush
NRL271,37.31345658,-86.22700975,Brush
NRL272,37.31344937,-86.22713531,Brush
NRL273,37.31339112,-86.22778248,Brush
NRL274,37.31320982,-86.22817073,Brush
NRL275,37.31306138,-86.2283719,Brush
NRL276,37.31307646,-86.22727957,Brush
NRL277,37.31330738,-86.22872293,Brush
NRL278,37.31360662,-86.22912912,Brush
NRL279,37.3137611,-86.22927907,Brush
NRL280,37.31375263,-86.22908578,Brush
NRL281,37.31388775,-86.22925962,Brush
NRL282,37.31377208,-86.22945266,Brush
NRL283,37.31358105,-86.22987293,Plastic
NRL284,37.31356379,-86.22989556,Plastic
NRL285,37.31352976,-86.22990293,Plastic
NRL286,37.31349891,-86.22990796,Plastic
NRL287,37.31353772,-86.22995951,Plastic
NRL288,37.31352841,-86.22998131,Plastic
NRL289,37.31349019,-86.22998977,Christmas Trees
NRL290,37.31344988,-86.23001416,Plastic
NRL291,37.31350092,-86.23003067,Plastic
NRL292,37.31078,-86.131803,Plastic
NRL293,37.3109101,-86.1322962,Plastic
NRL294,37.3479,-86.12276,Plastic
NRL295,37.34781,-86.12275,Plastic
NRL296,37.3477,-86.12277,Plastic
NRL297,37.34748,-86.12283,Plastic
NRL298,37.34734,-86.12288,Plastic
NRL299,37.34723,-86.12291,Plastic
NRL300,37.34716,-86.12291,Plastic
NRL301,37.34709,-86.12292,Plastic
NRL302,37.34685,-86.12287,Plastic
NRL303,37.34677,-86.12286,Plastic
NRL304,37.34668,-86.12281,Plastic
NRL305,37.3466,-86.12274,Plastic
NRL306,37.34653,-86.1227,Plastic
